iter	Passed	Remaining
422	73783	109367
423	74087	109384
424	74312	109283
425	74502	109130
426	74781	109107
427	75072	109100
428	75327	109040
429	75542	108921
430	75784	108841
431	76023	108755
432	76242	108640
433	76469	108537
434	76689	108423
435	76940	108352
436	77175	108258
437	77359	108090
438	77585	107983
439	77823	107891
440	78035	107763
441	78267	107662
442	78506	107570
443	78710	107429
444	78951	107338
445	79214	107277
446	79384	107089
447	79613	106980
448	79800	106815
449	80028	106704
450	80237	106567
451	80459	106448
452	80690	106340
453	80926	106237
454	81140	106106
455	81374	106000
456	81611	105898
457	81804	105738
458	82078	105683
459	82300	105559
460	82534	105451
461	82758	105328
462	82993	105220
463	83226	105109
464	83456	104993
465	83641	104821
466	83882	104718
467	84107	104594
468	84367	104515
469	84615	104418
470	84847	104303
471	85067	104172
472	85232	103972
473	85533	103938
474	85822	103890
475	86065	103784
476	86305	103675
477	86525	103540
478	86753	103416
479	86965	103271
480	87173	103121
481	87381	102972
482	87587	102820
483	87846	102729
484	88063	102589
485	88311	102484
486	88525	102340
487	88700	102151
488	88936	102031
489	89126	101859
490	89345	101719
491	89525	101534
492	89735	101384
493	89941	101229
494	90111	101033
495	90337	100901
496	90490	100686
497	90724	100561
498	90920	100394
499	91114	100226
500	91314	100063
501	91518	99905
502	91696	99717
503	91893	99551
504	92145	99444
505	92372	99309
506	92599	99174
507	92818	99030
508	93005	98852
509	93243	98728
510	93460	98581
511	93689	98447
512	93906	98299
513	94119	98148
514	94327	97991
515	94560	97859
516	94781	97715
517	94998	97565
518	95218	97419
519	95420	97255
520	95586	97053
521	95777	96878
522	96040	96775
523	96279	96646
524	96474	96474
525	96700	96332
526	96896	96160
527	97127	96024
528	97358	95886
529	97591	95750
530	97817	95606
531	98015	95436
532	98217	95268
533	98443	95124
534	98645	94957
535	98806	94750
536	99035	94609
537	99238	94442
538	99402	94238
539	99655	94119
540	99846	93940
541	100048	93772
542	100254	93608
543	100492	93472
544	100726	93333
545	100946	93181
546	101181	93042
547	101364	92855
548	101583	92702
549	101816	92560
550	102092	92457
551	102335	92323
552	102571	92184
553	102809	92045
554	103026	91888
555	103274	91758
556	103542	91645
557	103808	91529
558	104047	91390
559	104298	91261
560	104509	91096
561	104734	90943
562	104918	90755
563	105127	90588
564	105341	90425
565	105632	90328
566	105866	90182
567	106085	90022
568	106341	89894
569	106568	89741
570	106840	89626
571	107064	89470
572	107308	89330
573	107600	89230
574	107844	89088
575	108077	88939
576	108353	88823
577	108655	88729
578	108899	88586
579	109168	88463
580	109356	88275
581	109626	88152
582	109795	87949
583	110027	87795
584	110256	87639
585	110496	87492
586	110744	87350
587	111000	87214
588	111243	87068
589	111518	86946
590	111808	86836
591	112092	86720
592	112317	86558
593	112643	86473
594	112934	86361
595	113239	86259
596	113504	86126
597	113771	85994
598	114026	85853
599	114324	85743
600	114550	85579
601	114841	85463
602	115141	85353
603	115369	85190
604	115623	85045
605	115919	84931
606	116261	84849
607	116570	84743
608	116860	84623
609	117094	84461
610	117354	84318
611	117632	84188
612	117851	84014
613	118103	83864
614	118399	83746
615	118698	83628
616	118960	83484
617	119185	83314
618	119400	83136
619	119671	82997
620	119906	82834
621	120157	82680
622	120449	82555
623	120772	82450
624	121076	82331
625	121354	82195
626	121581	82023
627	121910	81920
628	122181	81777
629	122432	81621
630	122671	81457
631	122943	81313
632	123207	81164
633	123502	81036
634	123751	80876
635	124027	80734
636	124299	80589
637	124547	80428
638	124729	80225
639	125007	80083
640	125310	79956
641	125593	79816
642	125864	79668
643	126123	79512
644	126442	79394
645	126760	79274
646	127039	79129
647	127318	78984
648	127580	78828
649	127768	78626
650	128060	78488
651	128298	78316
652	128534	78143
653	128757	77963
654	129117	77864
655	129406	77723
656	129676	77568
657	129921	77400
658	130167	77231
659	130458	77089
660	130719	76928
661	130958	76754
662	131300	76641
663	131597	76500
664	131881	76352
665	132148	76193
666	132372	76010
667	132653	75858
668	132896	75685
669	133090	75484
670	133320	75303
671	133582	75140
672	133861	74986
673	134117	74819
674	134352	74640
675	134596	74466
676	134847	74295
677	135115	74134
678	135353	73956
679	135617	73791
680	135853	73612
681	136121	73449
682	136368	73275
683	136545	73063
684	136778	72882
685	136997	72692
686	137226	72508
687	137456	72324
688	137720	72158
689	137944	71971
690	138245	71823
691	138526	71665
692	138796	71501
693	139052	71329
694	139314	71160
695	139602	71004
696	139854	70829
697	140094	70649
698	140328	70465
699	140623	70311
700	140924	70160
701	141187	69990
702	141377	69783
703	141606	69596
704	141896	69438
705	142158	69266
706	142436	69102
707	142692	68927
708	142918	68737
709	143174	68562
710	143456	68399
711	143738	68235
712	143999	68061
713	144241	67878
714	144562	67732
715	144866	67577
716	145160	67417
717	145419	67241
718	145685	67068
719	145934	66886
720	146165	66696
721	146425	66520
722	146677	66339
723	146934	66161
724	147219	65994
725	147501	65827
726	147739	65639
727	147999	65461
728	148245	65276
729	148479	65087
730	148748	64912
731	148957	64710
732	149196	64522
733	149409	64323
734	149624	64124
735	149859	63934
736	150109	63750
737	150369	63570
738	150644	63397
739	150894	63212
740	151160	63034
741	151451	62866
742	151694	62678
743	151968	62503
744	152236	62325
745	152466	62131
746	152767	61965
747	153054	61794
748	153263	61591
749	153489	61395
750	153733	61206
751	153982	61019
752	154195	60818
753	154426	60623
754	154662	60430
755	154899	60238
756	155087	60027
757	155334	59838
758	155596	59655
759	155807	59453
760	156057	59264
761	156317	59080
762	156541	58882
763	156768	58685
764	157035	58503
765	157348	58337
766	157604	58151
767	157901	57979
768	158203	57808
769	158485	57631
770	158727	57438
771	158967	57244
772	159282	57077
773	159509	56879
774	159824	56711
775	160183	56559
776	160424	56365
777	160694	56181
778	160911	55978
779	161180	55793
780	161436	55603
781	161678	55409
782	161969	55231
783	162209	55035
784	162434	54834
785	162661	54634
786	162898	54437
787	163163	54249
788	163384	54047
789	163579	53836
790	163814	53638
791	164073	53448
792	164378	53272
793	164595	53068
794	164850	52876
795	165028	52659
796	165316	52478
797	165554	52280
798	165728	52062
799	166032	51885
800	166236	51676
801	166474	51478
802	166691	51273
803	166977	51090
804	167205	50888
805	167450	50692
806	167770	50518
807	168044	50330
808	168257	50123
809	168516	49930
810	168786	49741
811	169036	49545
812	169277	49346
813	169613	49175
814	169835	48971
815	170095	48777
816	170320	48573
817	170592	48383
818	170817	48179
819	171053	47978
820	171275	47773
821	171510	47572
822	171703	47359
823	171948	47160
824	172223	46970
825	172429	46760
826	172679	46562
827	172921	46362
828	173165	46163
829	173406	45963
830	173640	45760
831	173935	45574
832	174198	45379
833	174451	45181
834	174697	44982
835	174905	44772
836	175197	44584
837	175430	44381
838	175689	44184
839	175940	43985
840	176160	43778
841	176401	43576
842	176629	43371
843	176870	43169
844	177091	42963
845	177319	42757
846	177566	42557
847	177805	42354
848	178055	42154
849	178266	41945
850	178486	41737
851	178688	41526
852	178946	41327
853	179216	41131
854	179472	40932
855	179689	40723
856	179919	40518
857	180160	40315
858	180362	40103
859	180580	39895
860	180821	39692
861	181035	39483
862	181274	39279
863	181545	39082
864	181795	38881
865	181988	38667
866	182219	38461
867	182498	38265
868	182795	38073
869	183005	37863
870	183280	37666
871	183539	37465
872	183787	37262
873	184123	37077
874	184439	36887
875	184717	36690
876	184953	36484
877	185167	36274
878	185448	36077
879	185713	35876
880	185992	35678
881	186204	35467
882	186481	35268
883	186743	35067
884	186993	34863
885	187257	34661
886	187502	34456
887	187741	34250
888	187993	34046
889	188264	33845
890	188532	33643
891	188741	33431
892	189026	33233
893	189300	33032
894	189567	32830
895	189826	32626
896	190085	32422
897	190312	32213
898	190571	32009
899	190859	31809
900	191120	31605
901	191363	31398
902	191606	31191
903	191819	30979
904	192055	30771
905	192293	30563
906	192531	30355
907	192690	30134
908	192937	29927
909	193178	29719
910	193395	29508
911	193618	29297
912	193830	29085
913	194055	28874
914	194286	28665
915	194511	28454
916	194744	28245
917	194962	28033
918	195159	27819
919	195351	27604
920	195546	27389
921	195726	27172
922	195923	26958
923	196143	26746
924	196370	26536
925	196599	26326
926	196831	26116
927	197072	25908
928	197279	25695
929	197483	25481
930	197710	25271
931	197888	25054
932	198093	24841
933	198304	24628
934	198503	24414
935	198682	24198
936	198875	23983
937	199073	23770
938	199286	23557
939	199456	23340
940	199661	23127
941	199881	22916
942	200059	22700
943	200257	22486
944	200445	22271
945	200676	22061
946	200897	21850
947	201074	21634
948	201306	21424
949	201520	21212
950	201737	21001
951	201958	20789
952	202155	20576
953	202366	20363
954	202574	20151
955	202778	19938
956	203002	19727
957	203202	19514
958	203392	19299
959	203614	19088
960	203841	18878
961	204033	18664
962	204263	18453
963	204514	18245
964	204733	18033
965	204956	17822
966	205175	17610
967	205336	17394
968	205563	17183
969	205777	16971
970	205977	16758
971	206207	16547
972	206434	16336
973	206648	16124
974	206872	15913
975	207084	15701
976	207308	15489
977	207514	15277
978	207726	15064
979	207957	14854
980	208169	14641
981	208401	14431
982	208609	14218
983	208817	14006
984	208997	13791
985	209248	13582
986	209478	13370
987	209711	13160
988	209892	12945
989	210095	12733
990	210313	12521
991	210494	12307
992	210690	12094
993	210933	11883
994	211156	11671
995	211369	11459
996	211568	11246
997	211793	11035
998	211971	10821
999	212231	10611
1000	212430	10398
1001	212645	10186
1002	212858	9974
1003	213087	9762
1004	213320	9551
1005	213550	9340
1006	213793	9129
1007	214024	8917
1008	214261	8706
1009	214475	8494
1010	214714	8282
1011	214951	8071
1012	215162	7858
1013	215353	7645
1014	215577	7433
1015	215777	7220
1016	215973	7008
1017	216191	6795
1018	216454	6584
1019	216683	6373
1020	216934	6161
1021	217177	5950
1022	217389	5737
1023	217646	5526
1024	217869	5313
1025	218062	5100
1026	218283	4888
1027	218488	4675
1028	218662	4462
1029	218872	4249
1030	219089	4037
1031	219267	3824
1032	219482	3612
1033	219733	3400
1034	219961	3187
1035	220220	2975
1036	220498	2764
1037	220675	2551
1038	220869	2338
1039	221072	2125
1040	221298	1913
1041	221527	1700
1042	221793	1488
1043	222018	1275
1044	222234	1063
1045	222457	850
1046	222700	638
1047	222953	425
1048	223183	212
1049	223396	0
