iter	MultiClass
325	-0.7342725489
326	-0.7339001719
327	-0.7332518684
328	-0.7330444998
329	-0.7327537183
330	-0.7326078597
331	-0.7321638505
332	-0.7321578668
333	-0.7320324496
334	-0.7316517126
335	-0.7314935549
336	-0.731094963
337	-0.7308337838
338	-0.7306277878
339	-0.7302065077
340	-0.7302015538
341	-0.7300584162
342	-0.72990085
343	-0.7295915759
344	-0.7295042556
345	-0.7291681105
346	-0.7286743358
347	-0.7286235122
348	-0.7281352507
349	-0.7278476963
350	-0.7276512018
351	-0.7272608681
352	-0.7269590032
353	-0.726665401
354	-0.72640505
355	-0.7262231016
356	-0.7259252571
357	-0.7257788426
358	-0.725229207
359	-0.7250843424
360	-0.7248270462
361	-0.7246790666
362	-0.7246230676
363	-0.7242778732
364	-0.7240656065
365	-0.7238918314
366	-0.7237933436
367	-0.7236658903
368	-0.7233980491
369	-0.7232881365
370	-0.7231406728
371	-0.7229641113
372	-0.7228205511
373	-0.722332297
374	-0.7220819758
375	-0.7220099375
376	-0.7217827326
377	-0.7212687289
378	-0.7209833816
379	-0.7209604766
380	-0.7207596137
381	-0.7206832612
382	-0.7201804127
383	-0.7200619664
384	-0.7199418499
385	-0.7196540347
386	-0.7194995071
387	-0.7192808688
388	-0.7191855237
389	-0.7190787491
390	-0.7188080613
391	-0.7184740328
392	-0.718093314
393	-0.7177608634
394	-0.7173516444
395	-0.7172433789
396	-0.7171112398
397	-0.717029744
398	-0.7167520466
399	-0.7167316153
400	-0.7163357838
401	-0.7160364662
402	-0.7158468611
403	-0.7156095696
404	-0.7155398866
405	-0.7153868622
406	-0.7151881888
407	-0.7150732694
408	-0.7149717048
409	-0.7147654268
410	-0.7145120389
411	-0.7144630868
412	-0.7143118851
413	-0.7140635977
414	-0.7137650672
415	-0.713621222
416	-0.7132742568
417	-0.7130660854
418	-0.7129385073
419	-0.7128756317
420	-0.7124470889
421	-0.7122951099
422	-0.7119533202
423	-0.7118018262
424	-0.7116673995
425	-0.711414103
426	-0.7110421038
427	-0.7109460672
428	-0.7107820101
429	-0.7107274821
430	-0.7106829847
431	-0.710610089
432	-0.7105584444
433	-0.7102882907
434	-0.7101531989
435	-0.7100620828
436	-0.7099607191
437	-0.7096769126
438	-0.7095411415
439	-0.7094270353
440	-0.7091215634
441	-0.7090759639
442	-0.7089793796
443	-0.7087073961
444	-0.7085183857
445	-0.7085000496
446	-0.7081605287
447	-0.7080991545
448	-0.7080211426
449	-0.707955839
450	-0.7077901766
451	-0.7077335787
452	-0.707482171
453	-0.70741201
454	-0.7071907157
455	-0.7071033125
456	-0.7068534619
457	-0.7066611541
458	-0.7066186359
459	-0.7065855907
460	-0.7064703696
461	-0.706371241
462	-0.7062269644
463	-0.7060329707
464	-0.705820698
465	-0.7055440721
466	-0.705421407
467	-0.7053385354
468	-0.7051324238
469	-0.7050261099
470	-0.7050142699
471	-0.7049180355
472	-0.704650014
473	-0.7045827793
474	-0.7044448491
475	-0.7042873111
476	-0.7040932102
477	-0.7040827573
478	-0.7040332439
479	-0.7036442441
480	-0.7035514833
481	-0.7034425847
482	-0.7033159742
483	-0.7032609653
484	-0.703103532
485	-0.7029082138
486	-0.7027394925
487	-0.7025369925
488	-0.7023560949
489	-0.702259879
490	-0.7021730837
491	-0.7019719252
492	-0.7017102348
493	-0.7014650864
494	-0.7012062817
495	-0.7010730997
496	-0.7009098422
497	-0.70081868
498	-0.7003741705
499	-0.7001300981
500	-0.7000767366
501	-0.700020741
502	-0.6999329504
503	-0.6997005542
504	-0.6996401343
505	-0.6995505718
506	-0.6994114594
507	-0.6992623576
508	-0.6991063597
509	-0.6988821673
510	-0.6988724823
511	-0.6987517899
512	-0.6986120729
513	-0.6985641889
514	-0.6984693807
515	-0.6982115991
516	-0.698035499
517	-0.6979132379
518	-0.6977940763
519	-0.6977257668
520	-0.6974940741
521	-0.6973151071
522	-0.6973050283
523	-0.6971176509
524	-0.6967928202
525	-0.6966994424
526	-0.6965362798
527	-0.6964812427
528	-0.6963342073
529	-0.6962322781
530	-0.6959866063
531	-0.6957559506
532	-0.695698511
533	-0.6955815424
534	-0.6954972372
535	-0.695071455
536	-0.6947737622
537	-0.694652457
538	-0.6943839476
539	-0.6942369888
540	-0.6940948733
541	-0.6939833324
542	-0.6938777455
543	-0.693726296
544	-0.6937015072
545	-0.693435793
546	-0.6934098809
547	-0.693396967
548	-0.6933423582
549	-0.6931664313
550	-0.6930281247
551	-0.6927992191
552	-0.6926678741
553	-0.6923764318
554	-0.6921228087
555	-0.6920627459
556	-0.6919988288
557	-0.6918964099
558	-0.6918496377
559	-0.6917842796
560	-0.6914535756
561	-0.6913609607
562	-0.69110616
563	-0.6910332821
564	-0.6908137867
565	-0.690658937
566	-0.6905308881
567	-0.6903279702
568	-0.6902407506
569	-0.6902076926
570	-0.6901856716
571	-0.690157904
572	-0.6899603599
573	-0.6899067742
574	-0.689804421
575	-0.6897354234
576	-0.6897026062
577	-0.6895006494
578	-0.6893169594
579	-0.6892051454
580	-0.6890466103
581	-0.688990304
582	-0.6885667364
583	-0.6885155935
584	-0.6882589771
585	-0.6881829911
586	-0.6881648766
587	-0.6880762708
588	-0.6878589154
589	-0.6877377065
590	-0.6876528947
591	-0.6875897033
592	-0.6874197365
593	-0.6873379922
594	-0.6871931485
595	-0.687157308
596	-0.6869595613
597	-0.6868027372
598	-0.6867000378
599	-0.6865900532
600	-0.6864823358
601	-0.6863350397
602	-0.686202998
603	-0.6860537738
604	-0.6859705345
605	-0.6859266248
606	-0.6859150991
607	-0.6858584936
608	-0.6857441987
609	-0.6855468469
610	-0.6853974125
611	-0.6851937141
612	-0.684944672
613	-0.684826575
614	-0.6846688998
615	-0.6844702924
616	-0.6843279311
617	-0.6842689735
618	-0.6842498453
619	-0.6841395336
620	-0.6840283646
621	-0.6838143444
622	-0.6836416362
623	-0.683385245
624	-0.6832402056
625	-0.6831402357
626	-0.6830044324
627	-0.6828498309
628	-0.6827257963
629	-0.6826806747
630	-0.6825587701
631	-0.6824113428
632	-0.6823296826
633	-0.6821413746
634	-0.682034562
635	-0.6819916611
636	-0.681947404
637	-0.6818756467
638	-0.6815207753
639	-0.6814685803
640	-0.6813472296
641	-0.6812214669
642	-0.6811788063
643	-0.6810931835
644	-0.6810341837
645	-0.6808901488
646	-0.6807189681
647	-0.6805725352
648	-0.6805368607
649	-0.6804064298
650	-0.6802485441
651	-0.6801276655
652	-0.6800611729
653	-0.6798918636
654	-0.6797640692
655	-0.6797406319
656	-0.6796720528
657	-0.6794553423
658	-0.6793853425
659	-0.6793355545
660	-0.6791510691
661	-0.6791293295
662	-0.6790708503
663	-0.6789111607
664	-0.678744486
665	-0.6785969316
666	-0.6783398366
667	-0.6782951533
668	-0.6782707451
669	-0.6780014509
670	-0.6777942659
671	-0.6776935266
672	-0.6776260949
673	-0.677568514
674	-0.6773098163
675	-0.6772661637
676	-0.677216809
677	-0.6771456822
678	-0.6770335998
679	-0.6770108249
680	-0.6769681438
681	-0.6768720489
682	-0.6765649853
683	-0.6762033104
684	-0.6761359935
685	-0.6758124868
686	-0.6757993445
687	-0.675638008
688	-0.6756215882
689	-0.6754300931
690	-0.675281044
691	-0.6752649518
692	-0.6751133183
693	-0.6749577079
694	-0.6748293649
695	-0.6746693515
696	-0.6743197113
697	-0.6742438496
698	-0.6739704148
699	-0.6738749401
700	-0.673718062
701	-0.6734225976
702	-0.6733238133
703	-0.6731376512
704	-0.6730388285
705	-0.6728614362
706	-0.6726386496
707	-0.6724831217
708	-0.6723528754
709	-0.672264127
710	-0.6721843194
711	-0.6720541317
712	-0.6719604129
713	-0.671920873
714	-0.671871683
715	-0.671814733
716	-0.6717049679
717	-0.671443198
718	-0.6714073666
719	-0.6712723089
720	-0.6712266158
721	-0.6711791088
722	-0.6710913816
723	-0.6709456148
724	-0.6708263217
725	-0.6707229626
726	-0.670630909
727	-0.6705843057
728	-0.6704929586
729	-0.6704086932
730	-0.670136393
731	-0.6701050169
732	-0.67002101
733	-0.6699867139
734	-0.669690873
735	-0.669524703
736	-0.6694903072
737	-0.6693905145
738	-0.669197625
739	-0.6691098254
740	-0.6690399675
741	-0.6689068076
742	-0.6687708206
743	-0.6686336276
744	-0.6685789337
745	-0.6684351105
746	-0.6682124252
747	-0.6681905304
748	-0.6680418072
749	-0.6679437129
750	-0.6679126964
751	-0.6677348193
752	-0.6676177074
753	-0.667517393
754	-0.6674130349
755	-0.6673688633
756	-0.6671439644
757	-0.6670498363
758	-0.6669753434
759	-0.6667728162
760	-0.6667069688
761	-0.6666127977
762	-0.6665597005
763	-0.666324645
764	-0.6662583505
765	-0.6661987374
766	-0.6661099307
767	-0.6659660503
768	-0.6659364953
769	-0.6658644631
770	-0.6656372908
771	-0.6653649198
772	-0.6651174496
773	-0.6649105253
774	-0.6647955638
775	-0.6647281519
776	-0.6645978088
777	-0.6645759011
778	-0.6645002787
779	-0.6644505672
780	-0.6644033668
781	-0.664352805
782	-0.6642193187
783	-0.664155065
784	-0.6638331401
785	-0.6637591591
786	-0.6636882735
787	-0.6635466248
788	-0.6635272865
789	-0.6634410807
790	-0.6633375415
791	-0.6633131965
792	-0.6631583093
793	-0.6630640205
794	-0.6629280679
795	-0.6627343573
796	-0.6626178895
797	-0.6626101532
798	-0.6622698982
799	-0.6621437719
800	-0.66193082
801	-0.6618358988
802	-0.6617907842
803	-0.6617529905
804	-0.661646005
805	-0.6614457608
806	-0.6613456845
807	-0.6612573334
808	-0.6611914732
809	-0.6611266599
810	-0.6610058989
811	-0.6608219905
812	-0.6607106052
813	-0.6606732202
814	-0.6605463959
815	-0.6605138287
816	-0.6603766102
817	-0.6603238423
818	-0.6602608694
819	-0.660237644
820	-0.6601647838
821	-0.6600364724
822	-0.6599166684
823	-0.6598676532
824	-0.6597651867
825	-0.6595097969
826	-0.6594459673
827	-0.6593150799
828	-0.6591445849
829	-0.6590464108
830	-0.6589291653
831	-0.6587272187
832	-0.6586146007
833	-0.6585706913
834	-0.6583124979
835	-0.6583001278
836	-0.6581738271
837	-0.6580529652
838	-0.6579861007
839	-0.657931091
840	-0.6578970751
841	-0.657836964
842	-0.6576741584
843	-0.6575524923
844	-0.6574822843
845	-0.6573147515
846	-0.6572585629
847	-0.6571721607
848	-0.657051733
849	-0.657012899
850	-0.6569191777
851	-0.6566421108
852	-0.6564917604
853	-0.6563609563
854	-0.6563388371
855	-0.6562540545
856	-0.656172322
857	-0.6561474281
858	-0.6560555194
859	-0.6560195316
860	-0.6559490432
861	-0.6558290861
862	-0.6557831962
863	-0.6556131812
864	-0.6555827828
865	-0.6554666998
866	-0.6553793939
867	-0.6553238826
868	-0.6552766844
869	-0.6552042104
870	-0.655087811
871	-0.6550107495
872	-0.654962587
873	-0.6549256613
874	-0.6548885974
875	-0.65485739
876	-0.6548284168
877	-0.6546760957
878	-0.6546319156
879	-0.6544672707
880	-0.6544201717
881	-0.6543382769
882	-0.6542257468
883	-0.654130616
884	-0.6540959455
885	-0.6540295872
886	-0.6539381393
887	-0.65386404
888	-0.6537728188
889	-0.6537109322
890	-0.6536326964
891	-0.6534443495
892	-0.6533614748
893	-0.6533430107
894	-0.6532600103
895	-0.6531601884
896	-0.6529649844
897	-0.6528538788
898	-0.6528372084
899	-0.6527721321
900	-0.6526892348
901	-0.6526090974
902	-0.6525541949
903	-0.652390998
904	-0.6523558752
905	-0.6523258279
906	-0.6522534037
907	-0.6520302842
908	-0.6519266102
909	-0.6518963525
910	-0.651858587
911	-0.6518183824
912	-0.6517594595
913	-0.6516379361
914	-0.651620867
915	-0.6515772807
916	-0.6514850914
917	-0.6513825876
918	-0.6512451871
919	-0.6510098365
920	-0.6509022561
921	-0.6508570211
922	-0.6506354597
923	-0.6506098542
924	-0.6504424371
925	-0.6503515863
926	-0.650210159
927	-0.6501097961
928	-0.6500698839
929	-0.6500205871
930	-0.6499472636
931	-0.6498128461
932	-0.649694036
933	-0.6496648883
934	-0.6496215316
935	-0.6496090777
936	-0.6494713908
937	-0.6494171757
938	-0.6492217667
939	-0.6490288201
940	-0.6489901339
941	-0.6489427092
942	-0.6488965374
943	-0.6487374618
944	-0.6484827659
945	-0.6483854224
946	-0.6483732128
947	-0.6481225642
948	-0.6479453373
949	-0.6478512359
950	-0.6476643114
951	-0.647581504
952	-0.6475040037
953	-0.6472471461
954	-0.6472014682
955	-0.6471568522
956	-0.6470885343
957	-0.6470096433
958	-0.646823177
959	-0.646742278
960	-0.6466280816
961	-0.6465667133
962	-0.6465200922
963	-0.6465107262
964	-0.6463218936
965	-0.6461691802
966	-0.646140993
967	-0.6457626218
968	-0.6456941625
969	-0.6456483049
970	-0.6455068075
971	-0.645215674
972	-0.6450885539
973	-0.6449206025
974	-0.6448896788
975	-0.644837779
976	-0.6447709525
977	-0.6446663622
978	-0.6445716981
979	-0.6445088215
980	-0.6444317555
981	-0.6442682919
982	-0.6440585192
983	-0.643964266
984	-0.6439164816
985	-0.643849857
986	-0.6437478952
987	-0.6437057084
988	-0.6435758844
989	-0.6435389497
990	-0.6434878938
991	-0.6432850085
992	-0.6431782258
993	-0.6431062315
994	-0.6430823116
995	-0.6430691882
996	-0.642938896
997	-0.6428984575
998	-0.6427937427
999	-0.6427683348
1000	-0.6426687274
1001	-0.6426433841
1002	-0.6425461584
1003	-0.6424806138
1004	-0.6424309055
1005	-0.6423652772
1006	-0.6423431028
1007	-0.6423313111
1008	-0.6421821827
1009	-0.6420849825
1010	-0.6420355521
1011	-0.6419382222
1012	-0.6418922337
1013	-0.6416485654
1014	-0.641567316
1015	-0.641535017
1016	-0.6414178186
1017	-0.64136213
1018	-0.6412084074
1019	-0.6411347235
1020	-0.6409926083
1021	-0.6409402243
1022	-0.6408650413
1023	-0.6407200836
1024	-0.6406892023
1025	-0.6406130061
1026	-0.640453575
1027	-0.6403461132
1028	-0.640284879
1029	-0.6402558483
1030	-0.6400391196
1031	-0.6397688743
1032	-0.6396673504
1033	-0.6396087085
1034	-0.6395309542
1035	-0.6393930712
1036	-0.6393618476
1037	-0.6391718295
1038	-0.6390863349
1039	-0.6388875455
1040	-0.6387876105
1041	-0.6387481461
1042	-0.638676571
1043	-0.6386612587
1044	-0.6385841339
1045	-0.6385663122
1046	-0.6384874041
1047	-0.6383645568
1048	-0.6382827703
1049	-0.6382236278
